Transportadora;regiao;UF;Cidade;preca;Cep inicial;Cep final;Prazo;Custo
Dialogo Standard;S;PR;CURITIBA;Capital;80002900;80002900;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010000;80010020;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010030;80010070;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010080;80010080;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010090;80010090;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010100;80010130;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010140;80010900;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010903;80010906;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80010909;80010922;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020000;80020140;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020150;80020150;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020160;80020160;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020170;80020170;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020180;80020340;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020901;80020905;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020906;80020911;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020914;80020916;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020918;80020925;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020926;80020930;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020931;80020939;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80020943;80020944;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80024009;80024090;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030000;80030001;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030010;80030020;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030030;80030030;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030040;80030070;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030080;80030090;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030100;80030100;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030110;80030110;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030120;80030450;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030460;80030470;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80030480;80030480;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80035000;80035330;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040000;80040070;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040080;80040080;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040090;80040090;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040100;80040100;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040110;80040110;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040120;80040120;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040130;80040140;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040150;80040150;3;8,41
Dialogo Standard;S;PR;CURITIBA;Capital;80040160;80040270;3;8,41
