38500000; Jadlog; SE; MG; MONTE CARMELO; Interior; 4; 41,37
91900580; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
93520280; Jadlog; S; RS; NOVO HAMBURGO; Capital; 3; 12,83
87020230; Jadlog; S; PR; MARINGA; Capital; 2; 12,51
5014000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
49032490; Jadlog; NE; SE; ARACAJU; Capital; 8; 13,47
80010010; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
8717720; Jadlog; SE; SP; MOGI DAS CRUZES; Capital; 2; 12,51
26215200; Jadlog; SE; RJ; NOVA IGUACU; Capital; 3; 12,51
2461000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
4120040; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
17501010; Jadlog; SE; SP; MARILIA; Capital; 2; 12,51
9861090; Jadlog; SE; SP; SAO BERNARDO DO CAMPO; Capital; 2; 12,51
74683330; Jadlog; CO; GO; GOIANIA; Capital; 2; 13,15
69020040; Jadlog; N; AM; MANAUS; Capital; 20; 16,79
39205000; Jadlog; SE; MG; TRES MARIAS; Interior; 5; 41,37
26120320; Jadlog; SE; RJ; BELFORD ROXO; Capital; 3; 12,51
13049489; Jadlog; SE; SP; CAMPINAS; Capital; 2; 12,51
15803215; Jadlog; SE; SP; CATANDUVA; Capital; 3; 12,51
4081010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
13211377; Jadlog; SE; SP; JUNDIAI; Capital; 2; 12,51
7847160; Jadlog; SE; SP; FRANCO DA ROCHA; Interior; 3; 41,37
13033740; Jadlog; SE; SP; CAMPINAS; Capital; 2; 12,51
20241320; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 3; 12,51
66093180; Jadlog; N; PA; BELEM; Capital; 6; 13,55
1403002; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
4513080; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
85856360; Jadlog; S; PR; FOZ DO IGUACU; Capital; 3; 12,51
36052570; Jadlog; SE; MG; JUIZ DE FORA; Capital; 3; 12,51
90410001; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
36500009; Jadlog; SE; MG; UBA; Capital; 3; 12,51
65066190; Jadlog; NE; MA; SAO LUIS; Capital; 8; 13,55
4702000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
98300000; Jadlog; S; RS; PALMEIRA DAS MISSOES; Interior; 6; 41,69
24110002; Jadlog; SE; RJ; NITEROI; Capital; 3; 12,51
24440710; Jadlog; SE; RJ; SAO GONCALO; Capital; 4; 12,51
57035190; Jadlog; NE; AL; MACEIO; Capital; 8; 13,47
30180090; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
88102450; Jadlog; S; SC; SAO JOSE; Capital; 2; 12,44
5303000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
59020510; Jadlog; NE; RN; NATAL; Capital; 9; 14,1
79052420; Jadlog; CO; MS; CAMPO GRANDE; Capital; 10; 13,55
22230061; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
3355000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
29143246; Jadlog; SE; ES; CARIACICA; Capital; 3; 13,15
30220410; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
98400000; Jadlog; S; RS; FREDERICO WESTPHALEN; Interior; 6; 41,69
32185160; Jadlog; SE; MG; CONTAGEM; Capital; 2; 12,51
5409010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
22231130; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
2554000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
9360160; Jadlog; SE; SP; MAUA; Capital; 2; 12,51
75650000; Jadlog; CO; GO; MORRINHOS; Interior; 3; 46,35
87020035; Jadlog; S; PR; MARINGA; Capital; 2; 12,51
68035270; Jadlog; N; PA; SANTAREM; Capital; 15; 13,55
17690000; Jadlog; SE; SP; BASTOS; Capital; 3; 12,51
22210030; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
85012270; Jadlog; S; PR; GUARAPUAVA; Capital; 3; 12,51
1244020; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
90690400; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
77823110; Jadlog; N; TO; ARAGUAINA; Capital; 6; 13,55
4140000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
50740040; Jadlog; NE; PE; RECIFE; Capital; 7; 13,78
1220010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
82400070; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
26554110; Jadlog; SE; RJ; MESQUITA; Capital; 3; 12,51
29102903; Jadlog; SE; ES; VILA VELHA; Capital; 3; 13,15
93020650; Jadlog; S; RS; SAO LEOPOLDO; Capital; 3; 12,83
5438000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
59500000; Jadlog; NE; RN; MACAU; Interior; 16; 44,3
96211030; Jadlog; S; RS; RIO GRANDE; Capital; 3; 12,83
3280050; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
32341070; Jadlog; SE; MG; CONTAGEM; Capital; 2; 12,51
13280198; Jadlog; SE; SP; VINHEDO; Capital; 2; 12,51
95901150; Jadlog; S; RS; LAJEADO; Capital; 3; 12,83
4675100; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
96020480; Jadlog; S; RS; PELOTAS; Capital; 3; 12,83
3405040; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
40394050; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
5508090; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
1311300; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
58010270; Jadlog; NE; PB; JOAO PESSOA; Capital; 8; 14,1
60410302; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
24130220; Jadlog; SE; RJ; NITEROI; Capital; 3; 12,51
4632040; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
1453010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
9580670; Jadlog; SE; SP; SAO CAETANO DO SUL; Capital; 2; 12,51
39800370; Jadlog; SE; MG; TEOFILO OTONI; Capital; 3; 12,51
90540040; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
74351011; Jadlog; CO; GO; GOIANIA; Capital; 2; 13,15
13220005; Jadlog; SE; SP; VARZEA PAULISTA; Capital; 3; 12,51
22790350; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
22210030; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
41502135; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
82630600; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
85601010; Jadlog; S; PR; FRANCISCO BELTRAO; Capital; 3; 12,51
40296250; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
15807304; Jadlog; SE; SP; CATANDUVA; Capital; 3; 12,51
7091000; Jadlog; SE; SP; GUARULHOS; Capital; 2; 12,51
60170241; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
8090554; Jadlog; SE; SP; SAO PAULO; Interior; 3; 41,37
89610000; Jadlog; S; SC; HERVAL DOESTE; Capital; 4; 12,44
91720330; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
2435030; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
11055001; Jadlog; SE; SP; SANTOS; Capital; 2; 12,51
78055458; Jadlog; CO; MT; CUIABA; Capital; 10; 13,71
17290000; Jadlog; SE; SP; MACATUBA; Interior; 3; 41,37
41915430; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
86702666; Jadlog; S; PR; ARAPONGAS; Capital; 2; 12,51
75906370; Jadlog; CO; GO; RIO VERDE; Capital; 5; 13,15
66063000; Jadlog; N; PA; BELEM; Capital; 6; 13,55
58700070; Jadlog; NE; PB; PATOS; Capital; 9; 14,1
92310270; Jadlog; S; RS; CANOAS; Capital; 3; 12,83
93010090; Jadlog; S; RS; SAO LEOPOLDO; Capital; 3; 12,83
51011000; Jadlog; NE; PE; RECIFE; Capital; 7; 13,78
72150617; Jadlog; CO; DF; BRASILIA; Capital; 3; 13,15
35400000; Jadlog; SE; MG; OURO PRETO; Capital; 3; 12,51
74367635; Jadlog; CO; GO; GOIANIA; Capital; 2; 13,15
55540000; Jadlog; NE; PE; PALMARES; Interior; 13; 46,75
63010215; Jadlog; NE; CE; JUAZEIRO DO NORTE; Capital; 10; 14,42
24120192; Jadlog; SE; RJ; NITEROI; Capital; 3; 12,51
91340480; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
14021686; Jadlog; SE; SP; RIBEIRAO PRETO; Capital; 2; 12,51
81925070; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
45028610; Jadlog; NE; BA; VITORIA DA CONQUISTA; Capital; 8; 13,47
5007002; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
90540041; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
67020250; Jadlog; N; PA; ANANINDEUA; Capital; 7; 13,55
80040352; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
2179020; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
50761030; Jadlog; NE; PE; RECIFE; Capital; 7; 13,78
81020235; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
20210030; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
70772030; Jadlog; CO; DF; BRASILIA; Capital; 2; 13,15
79032340; Jadlog; CO; MS; CAMPO GRANDE; Capital; 10; 13,55
1244000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
90035070; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
88040600; Jadlog; S; SC; FLORIANOPOLIS; Capital; 3; 12,44
76824210; Jadlog; N; RO; PORTO VELHO; Capital; 15; 14,31
90010080; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
12919450; Jadlog; SE; SP; BRAGANCA PAULISTA; Capital; 2; 12,51
79092011; Jadlog; CO; MS; CAMPO GRANDE; Capital; 10; 13,55
80010050; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
25575110; Jadlog; SE; RJ; SAO JOAO DE MERITI; Capital; 3; 12,51
52021180; Jadlog; NE; PE; RECIFE; Capital; 7; 13,78
13070159; Jadlog; SE; SP; CAMPINAS; Capital; 2; 12,51
80730180; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
30493180; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
60355050; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
13911472; Jadlog; SE; SP; MONTE ALEGRE DO SUL; Interior; 3; 41,37
84050090; Jadlog; S; PR; PONTA GROSSA; Capital; 2; 12,51
90130061; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
3085030; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
11088280; Jadlog; SE; SP; SANTOS; Capital; 2; 12,51
30350410; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
57020091; Jadlog; NE; AL; MACEIO; Capital; 8; 13,47
2452002; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
41760110; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
17017010; Jadlog; SE; SP; BAURU; Capital; 2; 12,51
38400118; Jadlog; SE; MG; UBERLANDIA; Capital; 2; 12,51
36300036; Jadlog; SE; MG; SAO JOAO DEL REI; Capital; 3; 12,51
20521070; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
60875535; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
95150970; Jadlog; S; RS; NOVA PETROPOLIS; Interior; 6; 41,69
14050050; Jadlog; SE; SP; RIBEIRAO PRETO; Capital; 2; 12,51
68928042; Jadlog; N; AP; SANTANA; Interior; 18; 61,89
53030050; Jadlog; NE; PE; OLINDA; Capital; 7; 13,78
99036653; Jadlog; S; RS; PASSO FUNDO; Capital; 3; 12,83
87075790; Jadlog; S; PR; MARINGA; Capital; 2; 12,51
5025010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
89050100; Jadlog; S; SC; BLUMENAU; Capital; 2; 12,44
62540000; Jadlog; NE; CE; AMONTADA; Interior; 18; 47,37
34000001; Jadlog; SE; MG; NOVA LIMA; Capital; 3; 12,51
4026030; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
45816000; Jadlog; NE; BA; PORTO SEGURO; Interior; 8; 58,73
79802030; Jadlog; CO; MS; DOURADOS; Capital; 11; 13,55
21932510; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
29129665; Jadlog; SE; ES; VILA VELHA; Capital; 3; 13,15
71605260; Jadlog; CO; DF; BRASILIA; Capital; 3; 13,15
4746115; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
24350030; Jadlog; SE; RJ; NITEROI; Capital; 4; 12,51
71100050; Jadlog; CO; DF; BRASILIA; Capital; 3; 13,15
30431018; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
3311000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
9190210; Jadlog; SE; SP; SANTO ANDRE; Capital; 2; 12,51
60125040; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
75025030; Jadlog; CO; GO; ANAPOLIS; Capital; 3; 13,15
37552183; Jadlog; SE; MG; POUSO ALEGRE; Capital; 2; 12,51
47800358; Jadlog; NE; BA; BARREIRAS; Capital; 10; 13,47
26381357; Jadlog; SE; RJ; QUEIMADOS; Capital; 3; 12,51
93348360; Jadlog; S; RS; NOVO HAMBURGO; Capital; 3; 12,83
22780520; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
25650061; Jadlog; SE; RJ; PETROPOLIS; Capital; 3; 12,51
41815320; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
8441360; Jadlog; SE; SP; SAO PAULO; Interior; 3; 41,37
11045301; Jadlog; SE; SP; SANTOS; Capital; 2; 12,51
4004070; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
36680000; Jadlog; SE; MG; SAO JOAO NEPOMUCENO; Capital; 3; 12,51
18608393; Jadlog; SE; SP; BOTUCATU; Capital; 2; 12,51
6093060; Jadlog; SE; SP; OSASCO; Capital; 2; 12,51
70845010; Jadlog; CO; DF; BRASILIA; Capital; 2; 13,15
27258060; Jadlog; SE; RJ; VOLTA REDONDA; Capital; 3; 12,51
71525010; Jadlog; CO; DF; BRASILIA; Capital; 3; 13,15
62400000; Jadlog; NE; CE; CAMOCIM; Interior; 19; 47,37
32073190; Jadlog; SE; MG; CONTAGEM; Capital; 2; 12,51
