Transportadora;Método de Envio;UF;Cidade;CEP Inicial;CEP Final;Tarifa;Prazo de Entrega
GolLog;GolLog DOC;NA;NA;49000000;49099999;DOC;2
GolLog;GolLog DOC;NA;NA;75000000;75149999;DOC;3
GolLog;GolLog DOC;NA;NA;75152000;75152999;DOC;3
GolLog;GolLog DOC;NA;NA;75157000;75157999;DOC;4
GolLog;GolLog DOC;NA;NA;75170000;75170999;DOC;3
GolLog;GolLog DOC;NA;NA;75545000;75545999;DOC;4
GolLog;GolLog DOC;NA;NA;76800000;76833999;DOC;4
GolLog;GolLog DOC;NA;NA;17000000;17109999;DOC;3
GolLog;GolLog DOC;NA;NA;66000000;66845999;DOC;2
GolLog;GolLog DOC;NA;NA;66847000;66899999;DOC;2
GolLog;GolLog DOC;NA;NA;95185000;95185999;DOC;3
GolLog;GolLog DOC;NA;NA;95700000;95714999;DOC;3
GolLog;GolLog DOC;NA;NA;95718000;95718999;DOC;3
GolLog;GolLog DOC;NA;NA;95720000;95720999;DOC;3
GolLog;GolLog DOC;NA;NA;89000000;89074999;DOC;3
GolLog;GolLog DOC;NA;NA;89076000;89079999;DOC;3
GolLog;GolLog DOC;NA;NA;45819000;45819999;DOC;2
GolLog;GolLog DOC;NA;NA;70000000;70999999;DOC;2
GolLog;GolLog DOC;NA;NA;71500000;71569999;DOC;3
GolLog;GolLog DOC;NA;NA;71600000;71689999;DOC;2
GolLog;GolLog DOC;NA;NA;71700000;71799999;DOC;2
GolLog;GolLog DOC;NA;NA;69300000;69339999;DOC;3
GolLog;GolLog DOC;NA;NA;55000000;55099999;DOC;3
GolLog;GolLog DOC;NA;NA;55600000;55619999;DOC;7
GolLog;GolLog DOC;NA;NA;55640000;55649999;DOC;6
GolLog;GolLog DOC;NA;NA;88800000;88819999;DOC;3
GolLog;GolLog DOC;NA;NA;78000000;78099999;DOC;2
GolLog;GolLog DOC;NA;NA;78110000;78161999;DOC;3
GolLog;GolLog DOC;NA;NA;79000000;79124999;DOC;2
GolLog;GolLog DOC;NA;NA;68515000;68515999;DOC;3
