1;2;3;4;5;67
1001001;SPLog;SPLog Standard;SP;SPC;15
1005010;SPLog;SPLog Standard;SP;SPC;15
1006000;SPLog;SPLog Standard;SP;SPC;15
1007906;SPLog;SPLog Standard;SP;SPC;15
1011000;SPLog;SPLog Standard;SP;SPC;15
1011100;SPLog;SPLog Standard;SP;SPC;15
1012905;SPLog;SPLog Standard;SP;SPC;15
1016900;SPLog;SPLog Standard;SP;SPC;15
1017010;SPLog;SPLog Standard;SP;SPC;15
1017020;SPLog;SPLog Standard;SP;SPC;15
1017905;SPLog;SPLog Standard;SP;SPC;15
1020000;SPLog;SPLog Standard;SP;SPC;15
1028000;SPLog;SPLog Standard;SP;SPC;15
1030000;SPLog;SPLog Standard;SP;SPC;15
1032010;SPLog;SPLog Standard;SP;SPC;15
1034001;SPLog;SPLog Standard;SP;SPC;15
1035100;SPLog;SPLog Standard;SP;SPC;15
1035904;SPLog;SPLog Standard;SP;SPC;15
1036100;SPLog;SPLog Standard;SP;SPC;15
1039000;SPLog;SPLog Standard;SP;SPC;15
1039903;SPLog;SPLog Standard;SP;SPC;15
1040010;SPLog;SPLog Standard;SP;SPC;15
1041001;SPLog;SPLog Standard;SP;SPC;15
1043000;SPLog;SPLog Standard;SP;SPC;15
1044000;SPLog;SPLog Standard;SP;SPC;15
1045001;SPLog;SPLog Standard;SP;SPC;15
1046000;SPLog;SPLog Standard;SP;SPC;15
1046001;SPLog;SPLog Standard;SP;SPC;15
1046010;SPLog;SPLog Standard;SP;SPC;15
1046925;SPLog;SPLog Standard;SP;SPC;15
1047010;SPLog;SPLog Standard;SP;SPC;15
1047020;SPLog;SPLog Standard;SP;SPC;15
1048000;SPLog;SPLog Standard;SP;SPC;15
1050000;SPLog;SPLog Standard;SP;SPC;15
1050030;SPLog;SPLog Standard;SP;SPC;15
1050070;SPLog;SPLog Standard;SP;SPC;15
1102000;SPLog;SPLog Standard;SP;SPC;15
1103000;SPLog;SPLog Standard;SP;SPC;15
1120000;SPLog;SPLog Standard;SP;SPC;15
1121000;SPLog;SPLog Standard;SP;SPC;15
1123001;SPLog;SPLog Standard;SP;SPC;15
1123010;SPLog;SPLog Standard;SP;SPC;15
1124000;SPLog;SPLog Standard;SP;SPC;15
1124010;SPLog;SPLog Standard;SP;SPC;15
1126000;SPLog;SPLog Standard;SP;SPC;15
1126020;SPLog;SPLog Standard;SP;SPC;15
1128020;SPLog;SPLog Standard;SP;SPC;15
1128060;SPLog;SPLog Standard;SP;SPC;15
1129000;SPLog;SPLog Standard;SP;SPC;15
1131000;SPLog;SPLog Standard;SP;SPC;15
1131010;SPLog;SPLog Standard;SP;SPC;15
1132010;SPLog;SPLog Standard;SP;SPC;15
1134050;SPLog;SPLog Standard;SP;SPC;15
