Transportadora;regiao;UF;Cidade;preca;Cep inicial;Cep final;Prazo;Custo
jadlog rodoviario;N;AC;ACRELANDIA;Interior;69945000;69949999;23;62,18
jadlog rodoviario;N;AC;ASSIS BRASIL;Interior;69935000;69939999;21;62,18
jadlog rodoviario;N;AC;BRASILEIA;Interior;69932000;69933999;19;62,18
jadlog rodoviario;N;AC;BUJARI;Interior;69926000;69926999;21;62,18
jadlog rodoviario;N;AC;CAPIXABA;Interior;69931000;69931999;19;62,18
jadlog rodoviario;N;AC;CRUZEIRO DO SUL;Interior;69980000;69981999;25;62,18
jadlog rodoviario;N;AC;EPITACIOLANDIA;Interior;69934000;69934999;23;62,18
jadlog rodoviario;N;AC;FEIJO;Interior;69960000;69969999;25;62,18
jadlog rodoviario;N;AC;JORDAO;Interior;69975000;69979999;21;62,18
jadlog rodoviario;N;AC;MANCIO LIMA;Interior;69990000;69999999;21;62,18
jadlog rodoviario;N;AC;MANOEL URBANO;Interior;69950000;69954999;21;62,18
jadlog rodoviario;N;AC;MARECHAL THAUMATURGO;Interior;69983000;69984999;21;62,18
jadlog rodoviario;N;AC;PLACIDO DE CASTRO;Interior;69928000;69929999;19;62,18
jadlog rodoviario;N;AC;PORTO ACRE;Interior;69927000;69927999;21;62,18
jadlog rodoviario;N;AC;PORTO WALTER;Interior;69982000;69982999;21;62,18
jadlog rodoviario;N;AC;RIO BRANCO;Capital;69900001;69924999;15;14,31
jadlog rodoviario;N;AC;RODRIGUES ALVES;Interior;69985000;69989999;21;62,18
jadlog rodoviario;N;AC;SANTA ROSA DO PURUS;Interior;69955000;69959999;21;62,18
jadlog rodoviario;N;AC;SENA MADUREIRA;Interior;69940000;69944999;19;62,18
jadlog rodoviario;N;AC;SENADOR GUIOMARD;Interior;69925000;69925999;19;62,18
jadlog rodoviario;N;AC;TARAUACA;Interior;69970000;69974999;21;62,18
jadlog rodoviario;N;AC;XAPURI;Interior;69930000;69930999;21;62,18
jadlog rodoviario;NE;AL;AGUA BRANCA;Interior;57490000;57499999;10;43,67
jadlog rodoviario;NE;AL;ANADIA;Interior;57660000;57669999;10;43,67
jadlog rodoviario;NE;AL;ARAPIRACA;Capital;57300001;57319999;9;13,47
jadlog rodoviario;NE;AL;ATALAIA;Interior;57690000;57699999;10;43,67
jadlog rodoviario;NE;AL;BARRA DE SANTO ANTONIO;Interior;57925000;57929999;10;43,67
jadlog rodoviario;NE;AL;BARRA DE SAO MIGUEL;Interior;57180000;57199999;10;43,67
jadlog rodoviario;NE;AL;BATALHA;Interior;57420000;57424999;10;43,67
jadlog rodoviario;NE;AL;BELEM;Interior;57630000;57634999;10;43,67
jadlog rodoviario;NE;AL;BELO MONTE;Interior;57435000;57439999;10;43,67
jadlog rodoviario;NE;AL;BOCA DA MATA;Interior;57680000;57689999;10;43,67
jadlog rodoviario;NE;AL;BRANQUINHA;Interior;57830000;57839999;10;43,67
jadlog rodoviario;NE;AL;CACIMBINHAS;Interior;57570000;57579999;10;43,67
jadlog rodoviario;NE;AL;CAJUEIRO;Interior;57770000;57779999;10;43,67
jadlog rodoviario;NE;AL;CAMPESTRE;Interior;57968000;57969999;13;43,67
jadlog rodoviario;NE;AL;CAMPO ALEGRE;Interior;57250000;57259999;10;43,67
jadlog rodoviario;NE;AL;CAMPO GRANDE;Interior;57350000;57359999;10;43,67
jadlog rodoviario;NE;AL;CANAPI;Interior;57530000;57534999;10;43,67
jadlog rodoviario;NE;AL;CAPELA;Interior;57780000;57799999;10;43,67
jadlog rodoviario;NE;AL;CARNEIROS;Interior;57535000;57539999;10;43,67
jadlog rodoviario;NE;AL;CHA PRETA;Interior;57760000;57769999;10;43,67
